Topic,Mas,Ecs_1,Ecs_2,Ecs_3,Snp,Cnf_1,Cnf_2,Cnf_3,Cnf_4,Sub,Sen,Slc,index,Label_wp,Label_np
Should students be taught to compete or to cooperate?,0.6194349977,0.5880638725,0.7524945275,0.4982200087,0,0,1,0,0,0.009862366,0.302,22,8,1,0
Should students be taught to compete or to cooperate?,0,0,0,0,0,0,0,0,0,0.5817365068,0.516,4,9,1,0
Should students be taught to compete or to cooperate?,0.4529968067,0.7032337967,0.5987337933,0.6220547453,0,0,1,0,0,0.0660071648,0.458,16,9,1,0
Should students be taught to compete or to cooperate?,0.4529968067,0.7032337967,0.5987337933,0.6220547453,0,0,1,0,0,0.2509801786,0.344,5,9,1,0
Should students be taught to compete or to cooperate?,0,0,0,0,0,0,0,0,0,0.4124672061,0.535,10,9,1,0
Should students be taught to compete or to cooperate?,0.4529968067,0.7032337967,0.5987337933,0.6220547453,0,0,1,0,0,0.0125725964,0.471,21,9,1,0
Should students be taught to compete or to cooperate?,0.86058857,0.86058857,0.7345783775,0.7750163323,0,0,1,0,0,0.995936346,0.236,13,10,1,1
Should students be taught to compete or to cooperate?,0,0,0,0,0,0,1,0,0,0.9795087507,0,5,10,1,1
Should students be taught to compete or to cooperate?,0.6472367102,0.7931591191,0.7345783775,0.7750163323,0,0,1,0,0,0.9538011439,0.404,7,10,1,1
Should students be taught to compete or to cooperate?,0.86058857,0.86058857,0.7345783775,0.7750163323,0,0,1,0,0,0.995936346,0.236,13,10,1,1
Should students be taught to compete or to cooperate?,0.8449646816,0.8780794309,0.5468770307,0,0,1,1,0,0,0.4391722601,0.257,12,11,1,0
Should students be taught to compete or to cooperate?,0.8449646816,0,0,0,0,0,1,0,0,0.9531049215,0,9,11,1,0
Should students be taught to compete or to cooperate?,0.8449646816,0,0,0,0,0,1,0,0,0.7825498126,0,6,11,1,0
Should students be taught to compete or to cooperate?,0,0,0,0,0,0,0,0,0,0.4200492503,0.487,5,11,1,0
Should students be taught to compete or to cooperate?,0.8449646816,0,0,0,0,0,1,0,0,0.875611499,0,3,11,1,0
Should students be taught to compete or to cooperate?,0.8449646816,0,0,0,0,0,1,0,0,0.9604308607,0,5,11,1,0
Should students be taught to compete or to cooperate?,0.8449646816,0.8780794309,0.5468770307,0,0,1,1,0,0,0.0941550023,0.16,24,11,1,0
Should students be taught to compete or to cooperate?,0,0,0,0,0,0,1,0,0,0.7304134208,0.385,5,12,0,0
Should students be taught to compete or to cooperate?,0.8449646816,0.6472367102,0.7345783775,0.6967187112,0,0,1,0,0,0.7867728285,0,6,12,0,0
Should students be taught to compete or to cooperate?,0.8449646816,0.7527849853,0.6616763815,0.7104866629,0,0,1,0,0,0.5642720894,0.217,12,12,0,0
Should students be taught to compete or to cooperate?,0.5776209518,0.7759580776,0.6120546381,0.8163432422,0,0,1,0,0,0.175580169,0,11,13,1,0
Should students be taught to compete or to cooperate?,0.86058857,0.86058857,0.7275562079,0.6335547558,0,0,1,0,0,0.9316070717,0.224,20,13,1,0
Should students be taught to compete or to cooperate?,0.7573347474,0.7573347474,0.6986758814,0,0,0,1,0,0,0.1000056809,0.282,17,13,1,0
Should students be taught to compete or to cooperate?,0.8774680548,0,0,0,0,0,1,0,0,0.3746049871,0.262,11,13,1,0
Should students be taught to compete or to cooperate?,0.8774680548,0.9115101084,0.7275562079,0.8163432422,0,0,1,0,0,0.0086228382,0.216,62,13,1,0
Should students be taught to compete or to cooperate?,0.6843545934,0.6843545934,0.6862781601,0.4228642508,0,0,1,0,0,0.9358732092,0.404,14,14,0,0
Should students be taught to compete or to cooperate?,0.6843545934,0.6843545934,0.6862781601,0.4228642508,0,0,1,0,0,0.9358732092,0.404,14,14,0,0
Should students be taught to compete or to cooperate?,0,0,0,0,0,0,0,0,0,0.9400343382,0,4,15,1,1
Should students be taught to compete or to cooperate?,0.8647116068,0.898637193,0.5667526462,0,0,0,0,0,0,0.815964197,0.268,8,15,1,1
Should students be taught to compete or to cooperate?,0,0,0,0,0,0,0,0,0,0.8815495535,0.18,13,15,1,1
Should students be taught to compete or to cooperate?,0.8449646816,0.7249979842,0.6841158457,0.7249979842,0,0,1,0,0,0.6293610776,0.183,33,16,1,1
Should students be taught to compete or to cooperate?,0.8449646816,0,0,0,0,0,0,0,0,0.8550879021,0.148,21,16,1,1
Should students be taught to compete or to cooperate?,0.4540626732,0.7249979842,0.6841158457,0.7249979842,0,0,1,0,0,0.5367716149,0.262,11,16,1,1
Should students be taught to compete or to cooperate?,0.8449646816,0.7540010957,0.6841158457,0.7699796493,0,0,1,0,0,0.1542547654,0.254,38,16,1,1
More people are migrating to other countries than ever before,0.8154872615,0.87292407,0.8671952322,0.6777364313,0,0,1,0,0,0.0163670112,0.091,15,17,0,0
More people are migrating to other countries than ever before,0.8154872615,0.87292407,0.8671952322,0.6777364313,0,0,1,0,0,0.0163670112,0.091,15,17,0,0
More people are migrating to other countries than ever before,0.8799904762,0.8799904762,0.6437479962,0.9181140116,0,0,0,0,0,0.4203156388,0.178,8,18,0,0
More people are migrating to other countries than ever before,0,0,0,0,0,0,0,0,0,0.9880072328,0.326,8,18,0,0
More people are migrating to other countries than ever before,0.8799904762,0.8799904762,0.6437479962,0.9181140116,0,0,0,0,0,0.8647961918,0.259,17,18,0,0
More people are migrating to other countries than ever before,0.9192572903,0.8799904762,0.6437479962,0.9181140116,0,0,0,0,0,0.0019631424,0,20,19,0,0
More people are migrating to other countries than ever before,0.8799904762,0.8799904762,0.6437479962,0.9181140116,0,0,0,0,0,0.9542859845,0,3,19,0,0
More people are migrating to other countries than ever before,0.9192572903,0,0,0,0,0,0,0,0,0.0003792826,0,16,19,0,0
More people are migrating to other countries than ever before,0.9192572903,0.8799904762,0.6437479962,0.9181140116,0,0,0,0,0,0.0019631424,0,20,19,0,0
More people are migrating to other countries than ever before,0.9192572903,0.8661410809,0.5141229508,0,0,0,1,0,0,0.9051213285,0.315,23,20,1,1
More people are migrating to other countries than ever before,0.696375584,0.8661410809,0.5141229508,0,0,0,1,0,0,0.9877648733,0.512,4,20,1,1
More people are migrating to other countries than ever before,0.9192572903,0,0,0,0,0,1,0,0,0.32241162,0.292,18,20,1,1
More people are migrating to other countries than ever before,0.9192572903,0.8661410809,0.5141229508,0,0,0,1,0,0,0.9051213285,0.315,23,20,1,1
More people are migrating to other countries than ever before,0.728111029,0.8665900798,0.8445676233,0.944423578,0,0,1,0,0,0.0042558795,0.231,19,21,1,0
More people are migrating to other countries than ever before,0.728111029,0.7149212303,0.8445676233,0.944423578,0,0,1,0,0,0.0031702549,0.22,21,21,1,0
More people are migrating to other countries than ever before,0,0,0,0,0,0,0,0,1,0.8962148204,0,4,22,1,0
More people are migrating to other countries than ever before,0.8799904762,0.8799904762,0.6437479962,0.9181140116,0,0,1,0,0,1.66655887158E-05,0,29,22,1,0
More people are migrating to other countries than ever before,0.8799904762,0.8799904762,0.6437479962,0.9181140116,0,0,1,0,1,1.81115908546E-05,0,34,22,1,0
More people are migrating to other countries than ever before,0.7706061007,0.822658795,0.8175032869,0.8583329877,0,0,1,1,0,0.9610039237,0.286,9,23,1,0
More people are migrating to other countries than ever before,0,0,0,0,0,0,1,0,0,0.6165465802,0.453,10,23,1,0
More people are migrating to other countries than ever before,0.5320705816,0.4965754967,0.0299971446,0.613934222,0,0,1,1,0,0.8369420571,0.375,20,23,1,0
More people are migrating to other countries than ever before,0.8799904762,0.8799904762,0.6437479962,0.9181140116,0,0,0,0,0,0.0460548573,0.415,15,24,1,0
More people are migrating to other countries than ever before,0.8799904762,0.8799904762,0.7955887884,0.9181140116,0,0,0,0,0,0.00699364,0.342,21,24,1,0
More people are migrating to other countries than ever before,0.8556646813,0.944423578,0.869361439,0.8813424677,0,0,1,0,0,0.7437816917,0.29,16,25,1,1
More people are migrating to other countries than ever before,0.8556646813,0.8556646813,0.5786899961,0,0,0,1,0,0,0.9690368378,0.394,5,25,1,1
More people are migrating to other countries than ever before,0.3569821759,0.944423578,0.869361439,0.8813424677,0,0,1,0,0,0.2719336465,0.252,10,25,1,1
More people are migrating to other countries than ever before,0.8556646813,0.944423578,0.869361439,0.8813424677,0,0,1,0,0,0.7437816917,0.29,16,25,1,1
More people are migrating to other countries than ever before,0.9192572903,0.8556646813,0.5786899961,0,0,0,1,0,0,0.0321241571,0.164,27,26,1,0
More people are migrating to other countries than ever before,0.9192572903,0.8556646813,0.5786899961,0,0,0,1,0,0,0.0241017321,0.158,29,26,1,0
More people are migrating to other countries than ever before,0.7136282442,0.6538821276,0.6161853576,0.6961661019,0,0,0,0,0,0.0006272162,0.337,16,27,1,0
More people are migrating to other countries than ever before,0.7136282442,0.6538821276,0.6161853576,0.6961661019,0,0,0,0,0,0.0003971817,0.303,19,27,1,0
More people are migrating to other countries than ever before,0,0,0,0,0,0,0,0,0,0.5775353595,0,4,28,1,0
More people are migrating to other countries than ever before,0.9192572903,0.8822225197,0.5510846511,0.7247703289,0,0,1,0,0,0.1179947233,0.187,24,28,1,0
More people are migrating to other countries than ever before,0.5066635428,0.8822225197,0,0.6141051585,0,0,1,0,0,0.032900385,0.256,10,28,1,0
More people are migrating to other countries than ever before,0.9192572903,0.8511604691,0.5510846511,0.7247703289,0,0,1,0,0,0.9405993238,0.13,13,28,1,0
More people are migrating to other countries than ever before,0.9192572903,0.8822225197,0.5510846511,0.7247703289,0,0,1,0,0,0.0305443519,0.161,29,28,1,0
More people are migrating to other countries than ever before,0.8796225588,0.8747295672,0,0.8007804713,0,0,1,0,0,0.9855434054,0.568,9,29,1,0
More people are migrating to other countries than ever before,0.5713016239,0.7303214766,0.7072248408,0,0,0,0,0,0,0.7982665936,0.394,11,29,1,0
More people are migrating to other countries than ever before,0.8796225588,0.8747295672,0.6141048153,0.8007804713,0,0,1,0,0,0.9800796789,0.483,21,29,1,0
More people are migrating to other countries than ever before,0.8556646813,0.8813424677,0.5786899961,0,0,0,1,0,0,0.8647092011,0.253,16,30,1,1
More people are migrating to other countries than ever before,0.8556646813,0.8556646813,0.5786899961,0,0,0,1,0,0,0.9568113731,0.565,3,30,1,1
More people are migrating to other countries than ever before,0.8269448448,0.8813424677,0.3830479841,0,0,0,1,0,0,0.5297237765,0.153,12,30,1,1
More people are migrating to other countries than ever before,0.8556646813,0.8813424677,0.5786899961,0,0,0,1,0,0,0.8262654621,0.239,18,30,1,1
More people are migrating to other countries than ever before,0,0,0,0,0,0,1,0,0,0.5611243943,0.278,17,31,1,1
More people are migrating to other countries than ever before,0,0,0,0,0,0,1,0,0,0.4875394502,0.252,20,31,1,1
More people are migrating to other countries than ever before,0.696375584,0.8661410809,0.5141229508,0,0,0,1,0,0,0.9978601611,0,6,32,1,1
More people are migrating to other countries than ever before,0.8799904762,0.944423578,0.869361439,0.9181140116,0,0,1,0,0,0.4932999714,0.138,22,32,1,1
More people are migrating to other countries than ever before,0.8799904762,0.944423578,0.869361439,0.9181140116,0,0,1,0,0,0.9798438331,0.113,29,32,1,1
International tourism is now more common than ever before,0.7627205231,0.7627205231,0.8844394419,0.6823214521,0,0,1,1,0,0.7526583914,0.213,16,33,0,0
International tourism is now more common than ever before,0,0,0,0,0,0,0,0,0,0.1572587436,0,9,33,0,0
International tourism is now more common than ever before,0.7627205231,0.7627205231,0.8844394419,0.6823214521,0,0,1,1,0,0.068516085,0.147,26,33,0,0
International tourism is now more common than ever before,0.7953026383,0.7953026383,0.7771268275,0.9004108565,0,0,1,0,0,0.9547100821,0.198,16,34,1,1
International tourism is now more common than ever before,0.9087285664,0.9097446332,0.6705287999,0,0,0,1,0,0,0.9991044617,0.142,24,34,1,1
International tourism is now more common than ever before,0.7953026383,0.7953026383,0.6909714691,0.9004108565,0,0,0,0,0,0.9808988166,0,5,34,1,1
International tourism is now more common than ever before,0.6017281558,0.6017281558,0.7771268275,0.1656487513,0,0,1,0,0,0.6230600191,0.291,10,34,1,1
International tourism is now more common than ever before,0.7044686958,0.9097446332,0.5816644252,0,0,0,0,0,0,0.9967976809,0.545,3,34,1,1
International tourism is now more common than ever before,0.9087285664,0.9087285664,0.6705287999,0,0,0,1,0,0,0.9352009033,0.104,20,34,1,1
International tourism is now more common than ever before,0.9087285664,0.9097446332,0.7771268275,0.9004108565,0,0,1,0,0,0.9995980638,0.167,41,34,1,1
International tourism is now more common than ever before,0.6017281558,0.6017281558,0.7771268275,0.1656487513,0,0,1,0,0,0.4218095841,0.124,19,35,1,0
International tourism is now more common than ever before,0.6017281558,0.6017281558,0.7771268275,0.1656487513,0,0,1,0,0,0.351847449,0.118,21,35,1,0
International tourism is now more common than ever before,0,0,0,0,0,0,0,0,1,0.9236199626,0,4,36,1,0
International tourism is now more common than ever before,0.3865939603,0.3865939603,0.8430336184,0.3481674511,0,0,1,0,0,0.587214762,0.226,16,36,1,0
International tourism is now more common than ever before,0,0,0,0,0,0,0,0,0,0.7821495121,0,6,36,1,0
International tourism is now more common than ever before,0.3865939603,0.3865939603,0.8430336184,0.3481674511,0,0,1,0,1,0.4876181879,0.142,30,36,1,0
International tourism is now more common than ever before,0.6497177029,0.9075700024,0.6650077654,0.8253811167,0,0,1,0,0,0.0436393213,0.192,24,37,1,0
International tourism is now more common than ever before,0.6497177029,0.9075700024,0.6650077654,0.8253811167,0,0,1,0,0,0.0436393213,0.192,24,37,1,0
International tourism is now more common than ever before,0.6017281558,0.6017281558,0.7771268275,0.1656487513,0,0,1,0,0,0.433944829,0.42,11,38,1,1
International tourism is now more common than ever before,0.6017281558,0.6017281558,0.7771268275,0.1656487513,0,0,1,0,0,0.433944829,0.42,11,38,1,1
International tourism is now more common than ever before,0,0,0,0,0,0,0,0,0,0.8193738501,0,3,39,1,0
International tourism is now more common than ever before,0.6354362422,0.871215186,0.8159277521,0.8033133334,0,0,1,0,0,0.9503818601,0.474,13,39,1,0
International tourism is now more common than ever before,0.6354362422,0.871215186,0.8159277521,0.8033133334,0,0,1,0,0,0.9029482099,0.384,19,39,1,0
International tourism is now more common than ever before,0,0,0,0,0,0,0,0,0,0.9961833552,0.333,6,40,1,0
International tourism is now more common than ever before,0.6259417096,0.9411423472,0,0,0,0,0,0,0,0.8619060721,0,9,40,1,0
International tourism is now more common than ever before,0,0,0,0,0,0,1,0,0,0.0887765246,0.2,12,40,1,0
International tourism is now more common than ever before,0.3386226367,0.8477920425,0.3597414741,0.6371735812,0,0,1,0,1,0.4492552555,0.152,35,40,1,0
International tourism is now more common than ever before,0,0,0,0,0,0,0,0,0,0.8815534927,0.528,7,41,1,0
International tourism is now more common than ever before,0.4659412195,0.6414465223,0.6268216176,0.7623018583,0,0,0,0,0,0.9980071299,0.308,12,41,1,0
International tourism is now more common than ever before,0.4659412195,0.6414465223,0.6268216176,0.7623018583,0,0,0,0,0,0.9975006219,0.407,20,41,1,0
International tourism is now more common than ever before,0.6017281558,0.6017281558,0.7771268275,0.1656487513,0,0,1,0,0,0.916195226,0.452,5,42,1,1
International tourism is now more common than ever before,0,0,0,0,0,0,0,0,0,0.9703362383,0.619,7,42,1,1
International tourism is now more common than ever before,0.6017281558,0.6017281558,0.7771268275,0.1656487513,0,0,1,0,0,0.9095789559,0.551,13,42,1,1
International tourism is now more common than ever before,0.7044686958,0.9097446332,0.5816644252,0,0,0,1,0,0,0.9978601611,0,6,43,1,1
International tourism is now more common than ever before,0.6017281558,0.6017281558,0.7771268275,0.1656487513,0,0,1,0,0,0.119230386,0.144,18,43,1,1
International tourism is now more common than ever before,0.7044686958,0.9097446332,0.7771268275,0.1656487513,0,0,1,0,0,0.7987327484,0.105,28,43,1,1
International tourism is now more common than ever before,0.6728898521,0.7319074703,0,0.8060968364,0,0,0,0,0,0.2831926125,0.278,9,44,0,0
International tourism is now more common than ever before,0.6728898521,0.7319074703,0,0.8060968364,0,0,0,0,0,0.2088996379,0.231,12,44,0,0
International tourism is now more common than ever before,0.8327245768,0.9109367064,0.9295211113,0.7447917805,0,0,1,0,0,0.9141914247,0.31,17,45,0,0
International tourism is now more common than ever before,0.8327245768,0.9109367064,0.9295211113,0.7447917805,0,0,1,0,0,0.9141914247,0.31,17,45,0,0
International tourism is now more common than ever before,0.874097642,0.9062111243,0.7771268275,0.1656487513,0,0,0,0,0,0.8355256271,0.195,13,46,1,1
International tourism is now more common than ever before,0.7395708114,0.9097446332,0.7133348208,0.8539247164,0,0,1,0,0,0.9713286572,0.353,21,46,1,1
International tourism is now more common than ever before,0.7044686958,0.9097446332,0.5816644252,0,0,0,0,0,0,0.9967976809,0.545,3,46,1,1
International tourism is now more common than ever before,0.7395708114,0.7395708114,0.7133348208,0.8539247164,0,0,1,0,0,0.3047132519,0.35,17,46,1,1
International tourism is now more common than ever before,0.874097642,0.9097446332,0.7771268275,0.8539247164,0,0,1,0,0,0.9570693184,0.291,35,46,1,1
International tourism is now more common than ever before,0.9087285664,0.9087285664,0.6705287999,0,0,0,1,0,0,0.9379974372,0,23,47,1,0
International tourism is now more common than ever before,0.9087285664,0.9087285664,0.6705287999,0,0,0,1,0,0,0.9729571869,0,5,47,1,0
International tourism is now more common than ever before,0.5793694962,0.5745073082,0.2572353259,0,0,0,0,0,0,0.6286910101,0,17,47,1,0
International tourism is now more common than ever before,0.9087285664,0.9087285664,0.6705287999,0,0,0,1,0,0,0.9184141334,0,25,47,1,0
International tourism is now more common than ever before,0,0,0,0,0,0,0,0,1,0.9236199626,0,4,48,1,0
International tourism is now more common than ever before,0,0,0,0,0,0,0,0,0,0.4215274344,0.565,4,48,1,0
International tourism is now more common than ever before,0.5184205162,0.3971217364,0.6275061372,0.7963580617,0,0,0,0,1,0.003271684,0,16,48,1,0
International tourism is now more common than ever before,0.677825242,0.9075700024,0.5718629837,0.7651286839,0,0,0,0,0,0.1661320454,0.204,10,48,1,0
International tourism is now more common than ever before,0,0,0,0,0,0,0,0,0,0.8917600162,0,5,48,1,0
International tourism is now more common than ever before,0.6153956822,0.8706611337,0.5896357141,0.6862869429,0,0,0,0,0,0.3092090488,0.367,7,48,1,0
International tourism is now more common than ever before,0.677825242,0.9075700024,0.6275061372,0.7963580617,0,0,0,0,1,0.000009632,0.185,49,48,1,0
International tourism is now more common than ever before,0.9250497619,0,0,0,0,0,0,0,1,0.7349168513,0.325,21,49,1,0
International tourism is now more common than ever before,0.9250497619,0,0,0,0,0,0,0,1,0.7349168513,0.325,21,49,1,0
International tourism is now more common than ever before,0.9250497619,0.6017281558,0.7771268275,0.1656487513,0,0,1,0,0,0.8485324043,0.326,15,50,1,1
International tourism is now more common than ever before,0,0,0,0,0,0,1,0,0,0.981373244,0,3,50,1,1
International tourism is now more common than ever before,0.6017281558,0.6017281558,0.7771268275,0.1656487513,0,0,0,0,0,0.2997970181,0.42,11,50,1,1
International tourism is now more common than ever before,0.9250497619,0.6017281558,0.7771268275,0.1656487513,0,0,1,0,0,0.8485324043,0.326,15,50,1,1
International tourism is now more common than ever before,0.6017281558,0.7431880052,0.7771268275,0.7061850242,0,1,1,0,0,0.7838652813,0.444,18,51,1,0
International tourism is now more common than ever before,0,0.7431880052,0.6474722254,0.7061850242,0,0,1,0,0,0.882114995,0.464,4,51,1,0
International tourism is now more common than ever before,0.6017281558,0.6017281558,0.7771268275,0.1656487513,0,0,0,0,0,0.661206423,0.464,13,51,1,0
International tourism is now more common than ever before,0.6017281558,0.7431880052,0.7771268275,0.7061850242,0,1,1,0,0,0.7296319667,0.426,20,51,1,0
International tourism is now more common than ever before,0.6126100973,0.3710519153,0.3458744919,0.2581760672,0,0,1,0,1,0.9137369558,0.483,8,52,1,0
International tourism is now more common than ever before,0.6504973596,0.4910901863,0.2572353259,0.6649485485,0,0,1,0,0,0.9223853433,0.236,13,52,1,0
International tourism is now more common than ever before,0,0,0,0,0,0,1,0,0,0.8172239112,0,11,52,1,0
International tourism is now more common than ever before,0,0,0,0,0,0,1,0,0,0.804425452,0,8,52,1,0
International tourism is now more common than ever before,0.6504973596,0.4910901863,0.3458744919,0.6649485485,0,0,1,0,1,0.9136730504,0.205,43,52,1,0
International tourism is now more common than ever before,0.7106006368,0.8928124242,0.8348870881,0.1187288752,0,0,1,0,0,0.8161330996,0,6,53,1,0
International tourism is now more common than ever before,0,0,0,0,0,0,0,0,0,0.4077286466,0,14,53,1,0
International tourism is now more common than ever before,0.7106006368,0.8928124242,0.8348870881,0.1187288752,0,0,1,0,0,0.5232658873,0,25,53,1,0
International tourism is now more common than ever before,0.9087285664,0.9087285664,0.7771268275,0.1656487513,0,0,1,0,0,0.9709431753,0.25,11,54,1,1
International tourism is now more common than ever before,0.9087285664,0.9087285664,0.6705287999,0,0,0,1,0,0,0.9643927727,0,3,54,1,1
International tourism is now more common than ever before,0.6017281558,0.6017281558,0.7771268275,0.1656487513,0,0,1,0,0,0.8324396534,0.375,7,54,1,1
International tourism is now more common than ever before,0.9087285664,0.9087285664,0.7771268275,0.1656487513,0,0,1,0,0,0.8672295695,0.231,13,54,1,1
International tourism is now more common than ever before,0.7044686958,0.9097446332,0.7771268275,0.1656487513,0,0,1,0,0,0.9072983642,0.526,18,55,1,1
International tourism is now more common than ever before,0.7044686958,0.9097446332,0.5816644252,0,0,0,1,0,0,0.9977550378,0.677,3,55,1,1
International tourism is now more common than ever before,0.6017281558,0.6017281558,0.7771268275,0.1656487513,0,0,1,0,0,0.0814519257,0.529,14,55,1,1
International tourism is now more common than ever before,0.7044686958,0.9097446332,0.7771268275,0.1656487513,0,0,1,0,0,0.8104524415,0.484,21,55,1,1
International tourism is now more common than ever before,0.6918680951,0.8603941617,0.1549072275,0.8060968364,0,0,1,0,0,0.6282566181,0.39,12,56,0,0
International tourism is now more common than ever before,0.8504334136,0,0,0,0,0,0,1,0,0.22588662,0.314,9,56,0,0
International tourism is now more common than ever before,0.8504334136,0.8603941617,0.1549072275,0.8060968364,0,0,1,1,0,0.050157021,0.361,22,56,0,0
Living and studying overseas,0.7313990673,0.7313990673,0.7196381038,0,0,0,1,0,0,0.8268457862,0,4,57,0,0
Living and studying overseas,0.3818597253,0.7264832174,0.7975180006,0.548949943,0,0,1,0,0,0.4605248238,0.412,14,57,0,0
Living and studying overseas,0.7313990673,0.7313990673,0.7196381038,0,0,0,1,0,0,0.3166216692,0.318,18,57,0,0
Living and studying overseas,0.7712190677,0.7095394296,0,0.7566445418,0,0,0,0,0,0.6837874076,0,10,58,0,0
Living and studying overseas,0.8224445616,0.8224445616,0,0,0,0,1,0,0,0.7843048946,0.145,15,58,0,0
Living and studying overseas,0.8224445616,0.8224445616,0,0.7566445418,0,0,1,0,0,0.1166163118,0.087,26,58,0,0
Living and studying overseas,0.7631658184,0.8419843593,0.6161980553,0,0,0,1,0,0,0.3467876875,0.207,15,59,1,1
Living and studying overseas,0.7631658184,0.8419843593,0.6161980553,0,0,0,1,0,0,0.8082938045,0.175,19,59,1,1
Living and studying overseas,0.7830338536,0.7830338536,0.5918528527,0,0,0,1,0,0,0.001866525,0.206,25,60,1,1
Living and studying overseas,0,0,0,0,0,0,1,0,0,0.0009683664,0.199,27,60,1,1
Living and studying overseas,0,0,0,0,0,0,1,0,0,0.1434437562,0,9,61,1,0
Living and studying overseas,0.7631658184,0.8419843593,0.7196381038,0,0,0,1,0,0,0.888410691,0.183,18,61,1,0
Living and studying overseas,0,0,0,0,0,0,0,0,0,0.0651315014,0,9,61,1,0
Living and studying overseas,0.7631658184,0.8419843593,0.7196381038,0,0,0,1,0,0,0.1949772914,0.103,36,61,1,0
Living and studying overseas,0.815183293,0.815183293,0.7342413455,0,0,0,1,0,0,0.0251811288,0,19,62,1,1
Living and studying overseas,0.7313990673,0.7313990673,0.7196381038,0,0,0,1,0,0,0.0170418841,0,21,62,1,1
Living and studying overseas,0.7631658184,0.8419843593,0.6161980553,0,0,0,1,0,0,0.0517826112,0.362,11,63,1,0
