Topic,Mas,Ecs_1,Ecs_2,Ecs_3,Cnf_1,Cnf_2,Cnf_3,Cnf_4,Sub,Sen,sq1,sq2,sq3,sq4,sq5,sq6,sq7,Title,Sen_num
democracy matters,0.7248591096,0.6563234365,0.5783571457,0.764286383,0,1,0,1,0.8511028379,0,0.0212765957,0,0,0.0212765957,0.0212765957,0,0,Why_democracy_matters,78
democracy matters,0.6305344451,0.7808209645,0.5789548594,0.3912811517,0,1,0,0,0.9935765044,0.127,0,0,0,0,0,0,0,Why_democracy_matters,79
democracy matters,0.6570316727,0.6169267499,0.6874053353,0.6101461332,0,1,0,0,0.9186285008,0,0,0,0,0,0,0,0,Why_democracy_matters,80
democracy matters,0.7042482731,0.7808209645,0.6482585337,0.715079675,0,1,0,0,0.6003136764,0.329,0.1212121212,0.0303030303,0.1212121212,0.1212121212,0.0606060606,0.0606060606,0,Why_democracy_matters,81
democracy matters,0.8799965739,0.8799965739,0.8232737356,0,0,1,0,0,0.9091430365,0.275,0.1764705882,0.0588235294,0.4705882353,0.2352941176,0.1176470588,0,0,Why_democracy_matters,82
democracy matters,0.8799965739,0.8799965739,0.8232737356,0,0,1,0,0,0.6442875766,0.192,0.1,0.05,0.15,0.1,0.1,0.05,0,Why_democracy_matters,83
democracy matters,0.5004232562,0,0,0,0,0,0,0,0.9971017209,0.385,0,0,0,0,0,0,0,Why_democracy_matters,84
people.exercise harder than others,0.8522687242,0.6483370766,0.4926244609,0,0,1,0,0,0.9982467274,0.313,0,0,0.2727272727,0,0,0,0,Why_some_people_find_exercise_harder_than_others,1
people.exercise harder than others,0.8522687242,0.8413505121,0.5518068407,0,0,1,0,0,0.8943346086,0,0.0869565217,0.0869565217,0,0.0869565217,0.0869565217,0,0,Why_some_people_find_exercise_harder_than_others,2
people.exercise harder than others,0,0,0,0,0,1,0,0,0.9771751081,0,0,0,0.1,0,0,0,0,Why_some_people_find_exercise_harder_than_others,3
people.exercise harder than others,0.7863695989,0.8433916114,0.6674717856,0.7418702272,0,1,0,0,0.9989855528,0.091,0,0,0,0,0,0.0344827586,0,Why_some_people_find_exercise_harder_than_others,4
people.exercise harder than others,0,0,0,0,0,0,0,0,0.8742003288,1,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,5
people.exercise harder than others,0.7863695989,0,0,0,0,1,0,0,0.996917799,0,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,6
people.exercise harder than others,0,0,0,0,0,0,0,0,0.9304449368,0,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,7
people.exercise harder than others,0,0,0,0,0,0,0,0,0.8742003288,1,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,8
people.exercise harder than others,0.7863695989,0,0,0,0,0,0,0,0.9837002284,0,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,9
people.exercise harder than others,0.8522687242,0.7389313754,0.4889587278,0.7717976566,0,0,0,0,0.8592181592,0.16,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,10
people.exercise harder than others,0.9160874939,0.8532549499,0.569165549,0.8742834839,0,0,0,0,0.6696933452,0.161,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,11
people.exercise harder than others,0.7863695989,0,0,0,0,0,0,0,0.9979264597,0.483,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,12
people.exercise harder than others,0.866451837,0,0,0,0,0,0,0,0.9815641697,0,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,13
people.exercise harder than others,0.9160874939,0,0,0,0,0,0,0,0.9999607106,0.257,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,14
people.exercise harder than others,0.8522687242,0,0,0,0,1,0,0,0.9595937735,0,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,15
people.exercise harder than others,0.8522687242,0.5196062261,0.5261858418,0.6775273752,0,1,0,0,0.9999042693,0,0,0.1,0,0,0.1,0.1,0,Why_some_people_find_exercise_harder_than_others,16
people.exercise harder than others,0.8522687242,0.8429362374,0.5646936673,0,0,1,0,0,0.981289434,0,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,17
people.exercise harder than others,0.8522687242,0.8513293219,0.5776013359,0.7748519144,0,1,0,0,0.90622895,0,0,0,0,0,0,0,0.1176470588,Why_some_people_find_exercise_harder_than_others,18
people.exercise harder than others,0.7699473137,0.8433916114,0.5129526579,0,0,1,0,0,0.9988978975,0,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,19
people.exercise harder than others,0.8532549499,0.8532549499,0.7533489105,0.8742834839,0,1,0,0,0.9951885818,0,0,0,0,0,0,0,0.2,Why_some_people_find_exercise_harder_than_others,20
people.exercise harder than others,0.9160874939,0.8532549499,0.569165549,0.8742834839,0,1,0,0,0.0172536027,0,0,0,0,0,0,0,0.0769230769,Why_some_people_find_exercise_harder_than_others,21
people.exercise harder than others,0.8522687242,0.6674717856,0.6099925345,0.8497847951,0,1,0,0,0.8735220952,0,0,0,0,0,0,0,0.0625,Why_some_people_find_exercise_harder_than_others,22
people.exercise harder than others,0.7699473137,0.8433916114,0.6216167246,0.7399141775,0,0,0,0,0.967694181,0,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,23
people.exercise harder than others,0.8522687242,0,0,0,0,1,1,0,0.4826746403,0,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,24
people.exercise harder than others,0.8532549499,0.9112149021,0.7159800595,0.926865629,0,1,0,0,0.9993121982,0.251,0,0,0,0,0,0,0.0454545455,Why_some_people_find_exercise_harder_than_others,25
people.exercise harder than others,0.607110022,0.607110022,0.6123622406,0.5729921134,0,0,0,0,0.553987696,0,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,26
people.exercise harder than others,0.8532549499,0.8532549499,0.569165549,0.926865629,0,1,0,0,0.9925317271,0.379,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,27
people.exercise harder than others,0.607110022,0.607110022,0.6123622406,0.5729921134,0,0,0,0,0.8584288616,0,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,28
people.exercise harder than others,0.8532549499,0.8532549499,0.569165549,0.94428474,0,1,0,0,0.973198243,0,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,29
people.exercise harder than others,0,0,0,0,0,1,0,0,0.9734750248,0,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,30
people.exercise harder than others,0.8413505121,0.8433916114,0.814126935,0.9140950544,0,1,0,0,0.9999993464,0,0,0.04,0,0,0.04,0.04,0,Why_some_people_find_exercise_harder_than_others,31
people.exercise harder than others,0.8522687242,0.9158016272,0.8497847951,0.8507327415,0,1,0,0,0.999269427,0.075,0.2380952381,0.0476190476,0,0.0952380952,0.0952380952,0.1428571429,0.1428571429,Why_some_people_find_exercise_harder_than_others,32
people.exercise harder than others,0.8522687242,0.8969918078,0.7533489105,0.7200862144,0,1,0,0,0.9999415105,0.078,0,0.0357142857,0,0,0.0357142857,0,0.1428571429,Why_some_people_find_exercise_harder_than_others,33
people.exercise harder than others,0.8522687242,0.9043132261,0.4225106545,0,0,1,0,0,0.9963805057,0.228,0.04,0.08,0.12,0.08,0.04,0.12,0,Why_some_people_find_exercise_harder_than_others,34
people.exercise harder than others,0.8481103245,0,0,0,0,1,0,0,0.9499467324,0.08,0.1176470588,0.0588235294,0.1764705882,0.1764705882,0.1764705882,0,0,Why_some_people_find_exercise_harder_than_others,35
people.exercise harder than others,0.8522687242,0.8413505121,0.5799297258,0.6025111522,0,1,0,0,0.9999785398,0.094,0.1153846154,0.1153846154,0.0769230769,0.1153846154,0.1153846154,0.0769230769,0,Why_some_people_find_exercise_harder_than_others,36
people.exercise harder than others,0.866451837,0.5196062261,0.5261858418,0.6775273752,0,1,0,0,0.9929301186,0,0,0.05,0,0,0.05,0.05,0,Why_some_people_find_exercise_harder_than_others,37
people.exercise harder than others,0.8413505121,0.8433916114,0.5518068407,0,0,1,0,0,0.9995856557,0.172,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,38
people.exercise harder than others,0.8532549499,0.8532549499,0.569165549,0.8742834839,0,1,0,0,0.997077405,0.205,0,0,0,0,0,0,0.1428571429,Why_some_people_find_exercise_harder_than_others,39
people.exercise harder than others,0.8413505121,0.8413505121,0.814126935,0.9140950544,0,1,0,0,0.9988819812,0.083,0.0476190476,0.0476190476,0.0952380952,0.0952380952,0.0476190476,0.0476190476,0,Why_some_people_find_exercise_harder_than_others,40
people.exercise harder than others,0.8984272709,0.8413505121,0.814126935,0.9140950544,0,1,0,0,0.9920389373,0.064,0.1739130435,0.0434782609,0.3043478261,0.2173913043,0.1304347826,0.0869565217,0,Why_some_people_find_exercise_harder_than_others,41
people.exercise harder than others,0,0,0,0,0,1,0,0,0.9904518811,0.216,0,0,0.2,0,0,0,0,Why_some_people_find_exercise_harder_than_others,42
people.exercise harder than others,0.7130882038,0.914306896,0.6099925345,0.6684955134,1,1,0,0,0.6590322943,0.075,0.0357142857,0.0357142857,0,0,0.0357142857,0.0357142857,0,Why_some_people_find_exercise_harder_than_others,43
people.exercise harder than others,0.8532549499,0.8532549499,0.7720788012,0.8742834839,0,1,0,0,0.513686218,0.186,0.1111111111,0.0740740741,0.037037037,0.0740740741,0.0740740741,0.0740740741,0.1111111111,Why_some_people_find_exercise_harder_than_others,44
people.exercise harder than others,0.8522687242,0.7522184907,0.7739037797,0.4704765247,0,1,1,0,0.2322150829,0.241,0,0,0,0,0,0,0.2,Why_some_people_find_exercise_harder_than_others,45
people.exercise harder than others,0.866451837,0,0,0,0,1,0,0,0.9870135418,0.188,0.09375,0.09375,0.0625,0.15625,0.09375,0.03125,0,Why_some_people_find_exercise_harder_than_others,46
people.exercise harder than others,0,0,0,0,0,0,0,0,0.9477694187,0,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,47
people.exercise harder than others,0.8295366567,0.9158016272,0.6193318191,0.8507327415,0,1,0,0,0.9993504449,0.207,0.0476190476,0.0952380952,0.0476190476,0.0952380952,0.0952380952,0.0952380952,0.0952380952,Why_some_people_find_exercise_harder_than_others,48
people.exercise harder than others,0.8532549499,0.8532549499,0.569165549,0.8742834839,0,0,0,0,0.9995591273,0.259,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,49
people.exercise harder than others,0.8522687242,0,0,0,0,1,0,0,0.7337244385,0.123,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,50
people.exercise harder than others,0.8522687242,0,0,0,0,0,0,0,0.9595400072,0,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,51
people.exercise harder than others,0.3969812344,0.6123622406,0.4571957327,0.8692262426,0,1,0,0,0.9963969475,0.254,0,0,0.0588235294,0.0588235294,0.0588235294,0.1176470588,0,Why_some_people_find_exercise_harder_than_others,52
people.exercise harder than others,0.9160874939,0,0,0,0,1,0,0,0.2688232526,0,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,53
people.exercise harder than others,0.9160874939,0,0,0,0,0,0,0,0.0839125047,0,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,54
people.exercise harder than others,0.9160874939,0.8845164811,0.389470013,0.7014070114,0,0,0,0,0.0544187903,0,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,55
people.exercise harder than others,0.8522687242,0,0,0,0,0,0,0,0.9798642598,0,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,56
people.exercise harder than others,0.3969812344,0.6123622406,0.4571957327,0.8692262426,0,0,0,0,0.8884066957,0.259,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,57
people.exercise harder than others,0.8532549499,0.8532549499,0.569165549,0.8742834839,0,0,0,0,0.9808496032,0.184,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,58
people.exercise harder than others,0.9160874939,0.8845164811,0.389470013,0.7014070114,0,0,0,0,0.0003777674,0,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,59
people.exercise harder than others,0.7455571685,0.8250406937,0.5799297258,0.6025111522,0,0,0,0,0.9946597183,0,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,60
people.exercise harder than others,0.8522687242,0.8250406937,0.6344856494,0.770018762,0,1,0,0,0.418434499,0,0,0,0,0,0,0,0.1052631579,Why_some_people_find_exercise_harder_than_others,61
people.exercise harder than others,0.866451837,0.8532549499,0.569165549,0.8742834839,0,1,0,0,0.9984622148,0.26,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,62
people.exercise harder than others,0.8522687242,0.8505292691,0.5925379036,0.7379379552,0,1,0,0,0.9001900485,0,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,63
people.exercise harder than others,0.8984272709,0,0,0,0,1,0,0,0.7950588516,0.127,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,64
people.exercise harder than others,0.9280965515,0.9399687283,0,0,0,1,0,0,0.9925011077,0.115,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,65
people.exercise harder than others,0.9160874939,0,0,0,0,1,0,0,0.7584479936,0.235,0,0,0,0,0,0,0.1176470588,Why_some_people_find_exercise_harder_than_others,66
people.exercise harder than others,0.8532549499,0.8532549499,0.569165549,0.8742834839,0,0,0,0,0.9156911673,0.383,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,67
people.exercise harder than others,0.9160874939,0.8532549499,0.569165549,0.8742834839,0,0,0,0,0.2689146792,0.19,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,68
people.exercise harder than others,0.9160874939,0,0,0,0,0,0,0,0.6214446294,0.248,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,69
people.exercise harder than others,0.8984272709,0,0,0,0,0,0,0,0.3942129343,0,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,70
people.exercise harder than others,0.6530173001,0.8013370074,0.5987320773,0.5935802913,0,0,0,0,0.8027805476,0,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,71
people.exercise harder than others,0.8522687242,0.6123622406,0.4571957327,0.8692262426,0,0,0,0,0.9923209169,0.152,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,72
people.exercise harder than others,0.8532549499,0.8532549499,0.814126935,0.9140950544,0,0,0,0,0.9904344407,0.127,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,73
people.exercise harder than others,0.8840633574,0.9048165173,0.569165549,0.8742834839,0,0,0,0,0.6523698426,0.303,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,74
people.exercise harder than others,0.8532549499,0.8532549499,0.569165549,0.8742834839,0,0,0,0,0.9876698624,0.317,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,75
people.exercise harder than others,0.8532549499,0.8532549499,0.569165549,0.8742834839,0,0,0,0,0.9999826957,0.104,0,0,0,0,0,0,0,Why_some_people_find_exercise_harder_than_others,76
